Node,Depth,Value,Alpha,Beta
B1,2,45,45,53
A4,3,17,45,53
B1,2,45,45,53
B4,3,9,45,53
B1,2,45,45,53
E4,3,-1,45,53
B1,2,45,45,53
A5,3,22,45,53
B1,2,45,45,53
B5,3,27,45,53
B1,2,45,45,53
C5,3,20,45,53
B1,2,45,45,53
D5,3,18,45,53
B1,2,45,45,53
E5,3,7,45,53
B1,2,45,45,53
A3,1,45,32,45
E1,2,-Infinity,32,45
A1,3,3,32,45
E1,2,3,32,45
B1,3,-1,32,45
E1,2,3,32,45
A2,3,3,32,45
E1,2,3,32,45
B2,3,-5,32,45
E1,2,3,32,45
B3,3,31,32,45
E1,2,31,32,45
C3,3,-4,32,45
E1,2,31,32,45
E3,3,0,32,45
E1,2,31,32,45
A4,3,3,32,45
E1,2,31,32,45
B4,3,-5,32,45
E1,2,31,32,45
E4,3,-15,32,45
E1,2,31,32,45
A5,3,8,32,45
E1,2,31,32,45
B5,3,13,32,45
E1,2,31,32,45
C5,3,6,32,45
E1,2,31,32,45
D5,3,4,32,45
E1,2,31,32,45
E5,3,-7,32,45
E1,2,31,32,45
A3,1,31,32,45
root,0,32,32,Infinity
B3,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,29,32,Infinity
A1,2,29,32,Infinity
E1,3,43,32,Infinity
A1,2,43,43,Infinity
A2,3,33,43,Infinity
A1,2,43,43,Infinity
B2,3,29,43,Infinity
A1,2,43,43,Infinity
A3,3,41,43,Infinity
A1,2,43,43,Infinity
C3,3,26,43,Infinity
A1,2,43,43,Infinity
E3,3,30,43,Infinity
A1,2,43,43,Infinity
A4,3,33,43,Infinity
A1,2,43,43,Infinity
B4,3,25,43,Infinity
A1,2,43,43,Infinity
E4,3,15,43,Infinity
A1,2,43,43,Infinity
A5,3,38,43,Infinity
A1,2,43,43,Infinity
B5,3,43,43,Infinity
A1,2,43,43,Infinity
C5,3,36,43,Infinity
A1,2,43,43,Infinity
D5,3,34,43,Infinity
A1,2,43,43,Infinity
E5,3,23,43,Infinity
A1,2,43,43,Infinity
B3,1,43,32,43
B1,2,-Infinity,32,43
A1,3,37,32,43
B1,2,37,37,43
E1,3,47,37,43
B1,2,47,37,43
B3,1,43,32,43
E1,2,-Infinity,32,43
A1,3,23,32,43
E1,2,23,32,43
B1,3,19,32,43
E1,2,23,32,43
A2,3,23,32,43
E1,2,23,32,43
B2,3,19,32,43
E1,2,23,32,43
A3,3,31,32,43
E1,2,31,32,43
C3,3,16,32,43
E1,2,31,32,43
E3,3,20,32,43
E1,2,31,32,43
A4,3,23,32,43
E1,2,31,32,43
B4,3,15,32,43
E1,2,31,32,43
E4,3,5,32,43
E1,2,31,32,43
A5,3,28,32,43
E1,2,31,32,43
B5,3,33,32,43
E1,2,33,33,43
C5,3,26,33,43
E1,2,33,33,43
D5,3,24,33,43
E1,2,33,33,43
E5,3,13,33,43
E1,2,33,33,43
B3,1,33,32,33
A2,2,-Infinity,32,33
A1,3,33,32,33
A2,2,33,32,33
B3,1,33,32,33
B2,2,-Infinity,32,33
A1,3,-55,32,33
B2,2,-55,32,33
B1,3,-59,32,33
B2,2,-55,32,33
E1,3,-45,32,33
B2,2,-45,32,33
A2,3,-55,32,33
B2,2,-45,32,33
A3,3,-47,32,33
B2,2,-45,32,33
C3,3,34,32,33
B2,2,34,32,33
B3,1,33,32,33
A3,2,-Infinity,32,33
A1,3,25,32,33
A3,2,25,32,33
B1,3,21,32,33
A3,2,25,32,33
E1,3,35,32,33
A3,2,35,32,33
B3,1,33,32,33
C3,2,-Infinity,32,33
A1,3,-74,32,33
C3,2,-74,32,33
B1,3,-78,32,33
C3,2,-74,32,33
E1,3,-64,32,33
C3,2,-64,32,33
A2,3,-74,32,33
C3,2,-64,32,33
B2,3,-82,32,33
C3,2,-64,32,33
A3,3,-66,32,33
C3,2,-64,32,33
E3,3,-93,32,33
C3,2,-64,32,33
A4,3,-74,32,33
C3,2,-64,32,33
B4,3,-82,32,33
C3,2,-64,32,33
E4,3,-92,32,33
C3,2,-64,32,33
A5,3,-69,32,33
C3,2,-64,32,33
B5,3,-64,32,33
C3,2,-64,32,33
C5,3,-71,32,33
C3,2,-64,32,33
D5,3,-73,32,33
C3,2,-64,32,33
E5,3,-84,32,33
C3,2,-64,32,33
B3,1,-64,32,33
root,0,32,32,Infinity
C3,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,-6,32,Infinity
A1,2,-6,32,Infinity
E1,3,8,32,Infinity
A1,2,8,32,Infinity
A2,3,-2,32,Infinity
A1,2,8,32,Infinity
B2,3,-10,32,Infinity
A1,2,8,32,Infinity
A3,3,6,32,Infinity
A1,2,8,32,Infinity
B3,3,26,32,Infinity
A1,2,26,32,Infinity
E3,3,-5,32,Infinity
A1,2,26,32,Infinity
A4,3,-2,32,Infinity
A1,2,26,32,Infinity
B4,3,-10,32,Infinity
A1,2,26,32,Infinity
E4,3,-20,32,Infinity
A1,2,26,32,Infinity
A5,3,3,32,Infinity
A1,2,26,32,Infinity
B5,3,8,32,Infinity
A1,2,26,32,Infinity
C5,3,1,32,Infinity
A1,2,26,32,Infinity
D5,3,-1,32,Infinity
A1,2,26,32,Infinity
E5,3,-12,32,Infinity
A1,2,26,32,Infinity
C3,1,26,32,Infinity
root,0,32,32,Infinity
E3,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,-2,32,Infinity
A1,2,-2,32,Infinity
E1,3,76,32,Infinity
A1,2,76,76,Infinity
A2,3,2,76,Infinity
A1,2,76,76,Infinity
B2,3,-6,76,Infinity
A1,2,76,76,Infinity
A3,3,10,76,Infinity
A1,2,76,76,Infinity
B3,3,30,76,Infinity
A1,2,76,76,Infinity
C3,3,-5,76,Infinity
A1,2,76,76,Infinity
A4,3,2,76,Infinity
A1,2,76,76,Infinity
B4,3,-6,76,Infinity
A1,2,76,76,Infinity
E4,3,-16,76,Infinity
A1,2,76,76,Infinity
A5,3,7,76,Infinity
A1,2,76,76,Infinity
B5,3,12,76,Infinity
A1,2,76,76,Infinity
C5,3,5,76,Infinity
A1,2,76,76,Infinity
D5,3,3,76,Infinity
A1,2,76,76,Infinity
E5,3,-8,76,Infinity
A1,2,76,76,Infinity
E3,1,76,32,76
B1,2,-Infinity,32,76
A1,3,6,32,76
B1,2,6,32,76
E1,3,80,32,76
B1,2,80,32,76
E3,1,76,32,76
E1,2,-Infinity,32,76
A1,3,-24,32,76
E1,2,-24,32,76
B1,3,-28,32,76
E1,2,-24,32,76
A2,3,-24,32,76
E1,2,-24,32,76
B2,3,-32,32,76
E1,2,-24,32,76
A3,3,-16,32,76
E1,2,-16,32,76
B3,3,4,32,76
E1,2,4,32,76
C3,3,-31,32,76
E1,2,4,32,76
A4,3,-24,32,76
E1,2,4,32,76
B4,3,-32,32,76
E1,2,4,32,76
E4,3,-42,32,76
E1,2,4,32,76
A5,3,-19,32,76
E1,2,4,32,76
B5,3,-14,32,76
E1,2,4,32,76
C5,3,-21,32,76
E1,2,4,32,76
D5,3,-23,32,76
E1,2,4,32,76
E5,3,-34,32,76
E1,2,4,32,76
E3,1,4,32,76
root,0,32,32,Infinity
A4,1,Infinity,32,Infinity
A1,2,-Infinity,32,Infinity
B1,3,1,32,Infinity
A1,2,1,32,Infinity
E1,3,15,32,Infinity
A1,2,15,32,Infinity
A2,3,5,32,Infinity
A1,2,15,32,Infinity
